week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,6,0,0,2,1,2,5,5,2,9,32,48,51
2,8,3,1,3,2,3,7,7,5,13,30,40,71
3,4,0,0,2,2,2,4,5,10,11,18,51,64
4,6,0,0,0,2,1,4,3,6,16,23,47,64
5,8,1,0,5,2,5,3,6,10,14,21,30,60
6,4,2,0,4,4,3,4,1,11,12,26,31,72
7,1,1,1,1,1,1,3,5,7,6,14,35,56
8,4,1,2,1,4,6,3,2,11,16,19,29,50
9,9,2,1,0,2,4,4,6,2,8,17,43,60
10,3,0,1,1,0,1,2,2,8,13,26,40,51
11,8,1,0,2,1,5,4,6,5,10,25,31,53
12,6,1,1,1,4,3,4,6,7,12,29,30,49
13,7,0,0,2,3,6,5,6,8,11,15,38,46
14,8,0,0,3,3,0,3,5,6,14,29,39,52
15,8,1,0,1,2,3,4,3,9,16,13,42,54
16,3,1,0,1,3,5,7,3,5,10,27,28,73
17,2,0,0,4,3,2,5,2,7,8,24,33,69
18,10,0,1,1,4,9,6,6,7,12,24,32,50
19,8,0,0,2,1,2,7,2,8,17,23,45,57
20,6,3,0,0,2,3,2,2,12,12,23,39,45
21,5,1,4,2,2,4,6,3,6,15,23,46,46
22,5,0,0,1,0,2,2,7,6,9,19,39,56
23,6,1,0,4,4,3,3,1,9,10,21,33,54
24,2,0,1,0,2,7,3,5,4,6,17,44,51
25,7,0,0,1,2,8,1,9,11,9,26,37,40
26,4,0,1,0,2,3,7,5,6,6,20,25,48
27,3,0,1,0,2,2,2,5,7,11,24,17,57
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
