country,student owns cellphone did well,student doesn't own cellphone did well,student doesn't own cellphone did bad,student owns cellphone did bad,percent good
Australia,74.76,8.6527,0.9737,11.6152,86.88678105
Austria,73.081,12.7234,0.9674,10.5573,88.15903979
Belgium,68.6751,11.3761,0.9306,9.4335,88.53722766
Chile,49.7666,24.1394,8.839,14.294,76.16113109
China,77.6182,15.683,0.9221,3.6754,95.30381915
Chinese Taipei,52.8283,37.6778,3.5891,4.7304,91.58163472
Costa Rica,47.8488,12.6467,7.1491,23.0335,66.71456504
Croatia,77.496,6.4097,1.0783,13.7181,85.00903223
Czech Republic,61.1414,26.8631,2.065,5.4627,92.12024846
Denmark,67.4642,6.2692,1.1496,14.6237,82.37752034
Estonia,76.5851,17.9954,0.4394,2.783,96.70521017
Finland,72.579,14.4184,1.4158,7.3848,90.81337815
Germany,56.5887,17.3365,1.1198,4.939,92.424985
Greece,52.6049,22.5171,6.0293,15.7854,77.49593291
Hungary,61.9127,22.0582,2.973,8.9397,87.57587325
Iceland,63.1129,10.9179,1.9384,16.6192,79.95688445
Ireland,80.9809,8.0343,0.6978,8.453,90.6782389
Israel,50.0297,13.452,4.7873,13.452,77.68101222
Italy,63.4538,18.0704,2.4491,10.5365,86.26004922
Japan,76.6808,8.4239,0.6613,5.5424,93.20577296
Jordan,33.0918,17.5192,14.649,27.3231,54.66548431
Korea,88.0191,5.9011,0.7749,4.9076,94.29483337
Latvia,71.5281,17.4176,1.4399,7.1064,91.23384483
Liechtenstein,81.9113,8.5324,0,7.8498,100
Mexico,36.6429,21.64,16.8505,20.8719,60.70800258
Netherlands,74.7982,10.5381,1.0987,8.5874,89.80650878
New Zealand,70.1235,12.8641,1.7245,10.6968,86.98098395
Norway,77.4648,2.8382,0.8963,14.4686,83.93933597
Poland,73.779,17.2781,0.9985,6.1428,92.72768192
Portugal,62.8102,18.3328,4.1419,11.447,83.88442696
Russia,71.5246,10.083,1.988,13.6442,83.92407224
Serbia,58.1465,8.6483,4.8473,24.258,69.65039661
Singapore,76.5777,13.8478,1.9473,6.383,91.5647486
Slovak Republic,56.9902,18.4908,5.5579,14.9423,78.64144228
Slovenia,73.0333,8.7802,2.1824,12.722,84.58982257
Spain,64.0066,21.5186,2.5362,8.0156,89.01735067
Sweden,74.0921,3.2306,1.1402,15.1605,82.58907495
Switzerland,71.5024,13.7056,1.318,10.9627,87.40295029
Turkey,50.3713,23.6386,9.8804,12.6031,76.69944266
Uruguay,34.3556,18.3255,11.5334,21.2418,61.64683002
