week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,4,1,1,4,2,3,0,7,10,12,30,35,37,78,104,147,183,252,404
2,6,0,2,3,2,2,2,8,4,11,24,39,55,63,118,159,185,269,414
3,10,4,3,2,0,3,8,6,7,13,28,38,58,79,106,137,194,273,449
4,5,0,1,2,4,6,4,3,10,12,32,35,51,81,136,160,183,279,413
5,6,0,1,2,2,3,1,9,7,13,19,43,52,82,106,170,199,290,421
6,10,1,1,0,4,4,4,4,4,15,24,43,57,92,124,168,198,265,378
7,8,1,2,0,4,2,2,10,8,14,16,40,58,66,112,154,207,266,414
8,5,4,0,0,3,3,5,0,7,18,32,40,63,72,101,143,197,283,393
9,4,0,0,1,2,6,2,4,8,13,23,43,59,70,104,134,197,284,395
10,7,0,0,2,3,3,3,3,10,10,28,30,61,73,101,158,193,262,410
11,8,0,0,2,0,5,3,7,12,14,22,32,49,67,114,167,210,280,404
12,7,1,1,0,2,2,6,9,6,14,28,40,54,79,122,185,251,281,442
13,6,1,0,2,5,2,4,6,8,14,26,48,66,83,145,192,228,313,481
14,7,0,0,1,3,4,5,8,6,14,28,43,54,109,139,190,294,392,582
15,4,0,1,4,3,4,6,9,6,20,18,37,56,70,141,183,245,350,490
16,7,1,0,3,6,4,1,9,5,17,30,34,57,83,125,165,240,321,468
17,8,1,0,2,2,5,4,7,9,19,28,46,56,60,116,135,201,283,395
18,5,0,0,4,5,2,2,9,4,3,13,36,45,67,95,125,177,260,398
19,5,0,0,1,4,1,3,13,5,13,26,42,53,63,110,137,151,243,314
20,9,1,0,1,3,5,5,4,7,15,28,41,50,53,97,137,171,207,319
21,7,0,0,0,9,1,3,7,8,14,18,35,48,66,103,132,165,245,329
22,5,0,1,1,1,7,1,5,10,10,21,39,55,59,89,125,150,214,309
23,7,1,0,0,1,3,6,8,14,8,19,36,51,57,102,140,149,242,327
24,8,0,2,0,5,3,5,5,5,15,20,45,38,80,96,143,177,219,286
25,7,0,0,0,5,7,1,6,10,23,15,34,53,62,102,133,157,225,309
26,6,1,0,2,3,1,2,7,8,14,25,49,48,64,113,136,181,228,292
27,5,3,1,0,2,5,4,7,6,14,21,49,50,67,101,142,174,240,289
28,7,0,0,1,1,1,2,3,4,11,33,36,62,59,98,155,175,203,323
29,6,0,0,0,3,2,2,6,8,15,20,33,44,58,83,121,190,206,317
30,13,1,0,2,1,3,4,7,5,10,31,34,59,63,86,133,177,226,301
31,3,0,1,3,2,6,5,5,6,16,31,50,60,57,104,133,182,273,343
32,7,0,0,4,3,4,8,7,6,16,26,31,50,58,104,149,175,203,321
33,2,0,0,3,6,6,3,3,6,17,28,37,55,48,93,142,205,245,331
34,5,0,1,3,2,3,4,9,6,14,25,29,50,65,99,150,179,234,341
35,6,0,0,1,3,2,2,3,9,9,26,34,51,69,114,133,166,222,323
36,11,1,3,2,3,3,10,8,5,12,24,35,46,66,108,129,169,241,291
37,5,1,2,3,4,2,6,3,7,8,25,31,64,80,106,140,190,259,323
38,8,0,0,2,2,5,4,7,7,11,17,32,38,70,102,152,194,263,329
39,12,0,1,3,5,3,3,7,11,6,27,39,65,77,100,129,198,263,306
40,10,0,0,0,2,5,6,5,11,16,16,43,47,83,116,143,182,234,324
41,6,0,1,1,8,1,2,5,9,24,22,35,75,68,107,152,202,253,363
42,3,1,1,2,1,2,4,5,10,10,20,37,41,47,112,159,174,282,378
43,14,0,0,3,2,3,5,6,7,15,27,42,59,71,125,163,211,317,422
44,11,1,1,2,2,1,5,3,10,19,24,35,51,91,118,209,242,373,496
45,9,3,2,0,1,3,3,5,7,25,26,44,65,111,132,255,314,468,595
46,6,0,0,2,2,3,3,6,6,16,34,54,65,92,168,248,332,500,612
47,6,0,3,3,7,0,1,4,6,13,31,33,56,92,165,246,368,498,625
48,4,0,1,2,2,3,4,5,8,14,20,38,71,104,186,243,354,476,588
49,4,0,2,4,3,3,4,6,9,8,27,45,75,108,159,231,330,505,656
50,6,0,0,0,4,2,9,8,8,17,38,54,69,97,153,252,375,477,646
51,3,0,0,0,3,2,6,6,15,16,32,43,50,104,157,257,332,512,649
52,10,0,1,2,2,4,3,5,3,12,23,41,64,81,198,234,352,475,611
53,5,0,0,3,4,6,4,5,8,14,25,37,76,87,138,217,314,433,611
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
