|Datum|Titel|Title|Kategorie|
|-----|-----|-----|---------|
|2020-09-30|Von SARS-CoV-2 abgeleitete Peptide definieren heterologe und COVID-19-induzierte T-Zell-Erkennung|SARS-CoV-2-derived peptides define heterologous and COVID-19-induced T cell recognition|Immunity|
|2021-01-26|Immunoassay auf der Basis von Magnetkügelchen ermöglicht schnellen, kostengünstigen und quantitativen Nachweis von menschlichen SARS-CoV-2-Antikörpern|Magnetic Bead-Based Immunoassay Allows Rapid, Inexpensive, and Quantitative Detection of Human SARS-CoV-2 Antibodies|Immunity|
|2021-02-22|Zirkulierende Exosomen sind stark an der SARS-CoV-2-Infektion beteiligt|Circulating Exosomes Are Strongly Involved in SARS-CoV-2 Infection|Virus|
|2021-05-06|Der mRNA-Impfstoff BNT162b2 gegen SARS-CoV-2 programmiert sowohl die adaptive als auch die angeborene Immunantwort um|The BNT162b2 mRNA vaccine against SARS-CoV-2 reprograms both adaptive and innate immune responses|Vaccines|
|2021-05-28|Dem CDC gemeldete COVID-19-Impfstoff-Durchbruchsinfektionen - Vereinigte Staaten, 1. Januar bis 30. April 2021 |COVID-19 Vaccine Breakthrough Infections Reported to CDC - United States, January 1-April 30, 2021 |Vaccines|
|2021-06-24|Vitamin-D-Supplementierung und klinische Ergebnisse bei COVID-19: eine systematische Überprüfung und Meta-Analyse|Vitamin D supplementation and clinical outcomes in COVID-19: a systematic review and meta-analysis|Therapeutics|
|2021-07-06|20-Wochen-Studie zu den klinischen Ergebnissen der rezeptfreien COVID-19-Prophylaxe und -Behandlung|20-Week Study of Clinical Outcomes of Over-the-Counter COVID-19 Prophylaxis and Treatment|Therapeutics|
|2021-07-14|SARS-CoV-2-Epitope für menschliche T-Zellen: Adaptive Immunantwort gegen COVID-19|SARS-CoV-2 human T cell epitopes: Adaptive immune response against COVID-19|Immunity|
|2021-07-28|Ivermectin zur Vorbeugung und Behandlung von COVID-19|Ivermectin for preventing and treating COVID‐19|Therapeutics|
|2021-07-30|Korrelate der neutralisierenden/SARS-CoV-2-S1-bindenden Antikörperreaktion mit unerwünschten Wirkungen und Immunkinetik bei BNT162b2-geimpften Personen|Correlates of Neutralizing/SARS-CoV-2-S1-binding Antibody Response with Adverse Effects and Immune Kinetics in BNT162b2-Vaccinated Individuals|Vaccines|
|2021-08-06|Ausbruch von SARS-CoV-2-Infektionen, einschließlich COVID-19-Impfstoff-Durchbruchsinfektionen, im Zusammenhang mit großen öffentlichen Versammlungen - Barnstable County, Massachusetts, Juli 2021 |Outbreak of SARS-CoV-2 Infections, Including COVID-19 Vaccine Breakthrough Infections, Associated with Large Public Gatherings - Barnstable County, Massachusetts, July 2021 |Vaccines|
|2021-09-30|Anstieg von COVID-19 steht in 68 Ländern und 2947 Bezirken in den Vereinigten Staaten in keinem Zusammenhang mit dem Grad der Impfung|Increases in COVID-19 are unrelated to levels of vaccination across 68 countries and 2947 counties in the United States|Vaccines|
|2021-10-05|Kein signifikanter Unterschied in der Viruslast zwischen geimpften und ungeimpften, asymptomatischen und symptomatischen Gruppen bei Infektion mit der SARS-CoV-2 Delta-Variante|No Significant Difference in Viral Load Between Vaccinated and Unvaccinated, Asymptomatic and Symptomatic Groups When Infected with SARS-CoV-2 Delta Variant|Virus|
|2021-10-08|Kreuzreaktive CD4+ T-Zellen verstärken die SARS-CoV-2-Immunantwort bei Infektion und Impfung|Cross-reactive CD4+ T cells enhance SARS-CoV-2 immune responses upon infection and vaccination|Immunity|
|2021-10-08|Vitamin-D-Supplementierung zur Behandlung von SARS-CoV-2-positiven Patienten. Beweise aus Meta-Analyse|Vitamin D supplementation to treat SARS-CoV-2 positive patients. Evidence from meta-analysis|Therapeutics|
|2021-10-13|SARS-CoV-2-Spike beeinträchtigt DNA-Schadensreparatur und hemmt V(D)J-Rekombination in vitro|SARS–CoV–2 Spike Impairs DNA Damage Repair and Inhibits V(D)J Recombination In Vitro|Virus|
|2021-10-15|Cutting Edge: Zirkulierende Exosomen mit COVID-Spike-Protein werden durch BNT162b2 (Pfizer-BioNTech)-Impfung vor der Entwicklung von Antikörpern induziert: Ein neuer Mechanismus zur Aktivierung des Immunsystems durch mRNA-Impfstoffe|Cutting Edge: Circulating Exosomes with COVID Spike Protein Are Induced by BNT162b2 (Pfizer–BioNTech) Vaccination prior to Development of Antibodies: A Novel Mechanism for Immune Activation by mRNA Vaccines|Vaccines|
|2021-10-25|Wirksamkeit der Covid-19-Impfung gegen das Risiko einer symptomatischen Infektion, eines Krankenhausaufenthalts und des Todes bis zu 9 Monaten: Eine schwedische Kohortenstudie an der Gesamtbevölkerung|Effectiveness of Covid-19 Vaccination Against Risk of Symptomatic Infection, Hospitalization, and Death Up to 9 Months: A Swedish Total-Population Cohort Study|Vaccines|
|2021-10-27|Kardiovaskuläre Magnetresonanzbefunde bei nicht-hospitalisierten pädiatrischen Patienten nach der Genesung von COVID-19|Cardiovascular magnetic resonance findings in non-hospitalized paediatric patients after recovery from COVID-19|Virus|
|2021-10-29|Übertragung in der Gemeinschaft und Kinetik der Viruslast der SARS-CoV-2 delta (B.1.617.2)-Variante bei geimpften und ungeimpften Personen im Vereinigten Königreich: eine prospektive Längsschnitt-Kohortenstudie|Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study|Virus|
|2021-11-08|StudientAbstract 10712: Mrna COVID-Impfstoffe erhöhen drastisch die Entzündungsmarker im Endothel und das ACS-Risiko, gemessen mit dem PULS-Herztest: eine Warnungitel|Abstract 10712: Mrna COVID Vaccines Dramatically Increase Endothelial Inflammatory Markers and ACS Risk as Measured by the PULS Cardiac Test: a Warning|Vaccines|
